Entry,Exit,PnL
2022-01-27T08:47:00Z,2022-01-27T09:10:00Z,-2.27
2022-01-27T09:20:00Z,2022-01-27T10:32:00Z,-2.34
2022-01-27T10:33:00Z,2022-01-27T11:28:00Z,3.29
2022-01-27T11:29:00Z,2022-01-27T12:35:00Z,13.54
2022-01-27T12:47:00Z,2022-01-27T13:31:00Z,-6.46
2022-01-27T13:32:00Z,2022-01-27T13:46:00Z,0.68
2022-01-27T13:47:00Z,2022-01-27T15:31:00Z,36.84
2022-01-27T15:32:00Z,2022-01-27T15:45:00Z,1.03
2022-01-27T15:49:00Z,2022-01-27T16:34:00Z,2.58
2022-01-27T16:35:00Z,2022-01-27T17:11:00Z,13.22
2022-01-27T17:27:00Z,2022-01-27T18:03:00Z,2.13
2022-01-27T18:05:00Z,2022-01-27T18:58:00Z,-0.96
2022-01-27T19:01:00Z,2022-01-27T19:25:00Z,1.56
2022-01-27T19:35:00Z,2022-01-27T19:45:00Z,6.78
2022-01-27T20:08:00Z,2022-01-27T20:16:00Z,11.26
2022-01-27T20:32:00Z,2022-01-27T21:46:00Z,7.74
2022-01-27T21:47:00Z,2022-01-27T22:14:00Z,17.89
2022-01-27T22:15:00Z,2022-01-27T22:38:00Z,6.24
2022-01-27T22:39:00Z,2022-01-28T00:32:00Z,-96.10
2022-01-28T01:13:00Z,2022-01-28T01:29:00Z,1.50
2022-01-28T01:31:00Z,2022-01-28T01:46:00Z,-1.33
2022-01-28T02:03:00Z,2022-01-28T02:51:00Z,4.18
2022-01-28T02:53:00Z,2022-01-28T04:51:00Z,-5.18
2022-01-28T05:00:00Z,2022-01-28T06:58:00Z,36.49
2022-01-28T06:59:00Z,2022-01-28T12:04:00Z,-47.13
2022-01-28T12:05:00Z,2022-01-28T12:40:00Z,4.57
2022-01-28T13:07:00Z,2022-01-28T14:32:00Z,-75.57
2022-01-28T14:33:00Z,2022-01-28T15:05:00Z,3.37
2022-01-28T15:06:00Z,2022-01-28T15:24:00Z,-9.07
2022-01-28T15:25:00Z,2022-01-28T15:48:00Z,2.61
2022-01-28T16:11:00Z,2022-01-28T16:24:00Z,0.70
2022-01-28T16:30:00Z,2022-01-28T18:34:00Z,-13.90
2022-01-28T18:35:00Z,2022-01-28T19:25:00Z,4.32
2022-01-28T19:31:00Z,2022-01-28T19:37:00Z,4.52
2022-01-28T19:40:00Z,2022-01-28T20:12:00Z,-5.71
2022-01-28T20:22:00Z,2022-01-29T00:33:00Z,-16.43
2022-01-29T00:34:00Z,2022-01-29T01:13:00Z,-0.63
2022-01-29T01:14:00Z,2022-01-29T01:24:00Z,0.18
2022-01-29T01:26:00Z,2022-01-29T04:06:00Z,6.86
2022-01-29T04:07:00Z,2022-01-29T04:33:00Z,-1.84
2022-01-29T04:46:00Z,2022-01-29T05:20:00Z,1.75
2022-01-29T05:32:00Z,2022-01-29T05:42:00Z,0.37
2022-01-29T05:44:00Z,2022-01-29T06:12:00Z,0.65
2022-01-29T06:27:00Z,2022-01-29T06:30:00Z,0.06
2022-01-29T06:32:00Z,2022-01-29T09:03:00Z,-0.56
2022-01-29T09:04:00Z,2022-01-29T13:32:00Z,17.54
2022-01-29T13:33:00Z,2022-01-29T14:32:00Z,-3.20
2022-01-29T14:33:00Z,2022-01-29T18:47:00Z,-14.87
2022-01-29T18:48:00Z,2022-01-29T20:46:00Z,-14.92
2022-01-29T20:48:00Z,2022-01-29T21:05:00Z,7.88
2022-01-29T21:06:00Z,2022-01-29T21:34:00Z,1.07
2022-01-29T21:35:00Z,2022-01-30T00:00:00Z,-30.04
